epoch,num_iter_train,error_train_mean,error_train_sd,num_iter_valid_mean,num_iter_valid_sd,runtime_train,runtime_valid,num_subdomains,lr,seed
0,10,0.03738423783286416,0.00930166122944755,34.96,0.6621178142898739,48.45148062705994,74.26734852790833,10,0.0001,42
1,10,0.03385221560182077,0.00861585685676124,34.96,0.6621178142898739,47.59370446205139,74.26734852790833,10,0.0001,42
2,10,0.030436590129949526,0.007582237736273752,34.96,0.6621178142898739,47.3961238861084,74.26734852790833,10,0.0001,42
3,10,0.027414786393200403,0.006926717464252694,34.96,0.6621178142898739,47.073315382003784,74.26734852790833,10,0.0001,42
4,10,0.025253713957597314,0.006989051699657131,34.96,0.6621178142898739,46.87900185585022,74.26734852790833,10,0.0001,42
5,10,0.02373652609480325,0.007073575388227827,34.96,0.6621178142898739,46.75671052932739,74.26734852790833,10,0.0001,42
6,10,0.02293359459682621,0.007418341716742752,34.96,0.6621178142898739,46.67277479171753,74.26734852790833,10,0.0001,42
7,10,0.022579590616557805,0.007911636535076027,34.96,0.6621178142898739,46.679898738861084,74.26734852790833,10,0.0001,42
8,10,0.02242732512605112,0.008218068570797052,34.96,0.6621178142898739,46.595510721206665,74.26734852790833,10,0.0001,42
9,10,0.02238596066209352,0.008567722478732729,34.96,0.6621178142898739,46.68307900428772,74.26734852790833,10,0.0001,42
10,10,0.022356903660100985,0.008796499092141188,33.68,1.690443728729235,50.46078372001648,63.396775007247925,10,0.0001,42
11,10,0.022323522169165527,0.008826835081228345,33.68,1.690443728729235,46.34951615333557,63.396775007247925,10,0.0001,42
12,10,0.0223222318579713,0.0087574587886089,33.68,1.690443728729235,46.783833026885986,63.396775007247925,10,0.0001,42
13,10,0.022285671375720944,0.00873792134401695,33.68,1.690443728729235,46.803643226623535,63.396775007247925,10,0.0001,42
14,10,0.02226490304052346,0.008835659598078109,33.68,1.690443728729235,46.91822934150696,63.396775007247925,10,0.0001,42
15,10,0.022255573353933134,0.00885798307860421,33.68,1.690443728729235,46.84292435646057,63.396775007247925,10,0.0001,42
16,10,0.022241537862486505,0.00887208586499635,33.68,1.690443728729235,46.973238945007324,63.396775007247925,10,0.0001,42
17,10,0.022220007026981438,0.008879328206660299,33.68,1.690443728729235,47.047712087631226,63.396775007247925,10,0.0001,42
