epoch,num_iter_train,error_train_mean,error_train_sd,num_iter_valid_mean,num_iter_valid_sd,runtime_train,runtime_valid,num_subdomains,lr,seed
0,10,0.12034217122799466,0.14243642270513485,34.96,0.6621178142898739,70.00783324241638,60.62424039840698,10,0.005,42
1,14,0.10215701463917339,0.08225506454342031,34.96,0.6621178142898739,55.8042311668396,60.62424039840698,10,0.005,42
2,14,0.048837108456676825,0.021007862825576557,34.96,0.6621178142898739,48.02093505859375,60.62424039840698,10,0.005,42
3,8,0.02577607460068597,0.023322450696442794,34.96,0.6621178142898739,54.38715410232544,60.62424039840698,10,0.005,42
4,7,0.010788862773055527,0.015069340272929698,34.96,0.6621178142898739,58.99142622947693,60.62424039840698,10,0.005,42
5,3,0.00965684360000481,0.01362497335923023,34.96,0.6621178142898739,55.15531587600708,60.62424039840698,10,0.005,42
6,10,0.010572121998685877,0.014359583381338534,34.96,0.6621178142898739,54.121686935424805,60.62424039840698,10,0.005,42
7,4,0.009376688000412093,0.017341741503193432,34.96,0.6621178142898739,58.92061924934387,60.62424039840698,10,0.005,42
8,3,0.008529435577696637,0.01500626985947081,34.96,0.6621178142898739,60.39711093902588,60.62424039840698,10,0.005,42
9,10,0.011859018893206362,0.018001653837099098,34.96,0.6621178142898739,57.70784854888916,60.62424039840698,10,0.005,42
10,14,0.009310387784985186,0.010807094566578926,26.96,2.199636333578803,54.70248317718506,43.46436142921448,10,0.005,42
11,6,0.008133514844751003,0.010366742977341194,26.96,2.199636333578803,56.88451027870178,43.46436142921448,10,0.005,42
12,5,0.009830060604815645,0.0143942659539238,26.96,2.199636333578803,58.04090857505798,43.46436142921448,10,0.005,42
13,11,0.010483271439775564,0.0179716983229892,26.96,2.199636333578803,57.576292991638184,43.46436142921448,10,0.005,42
14,12,0.00910598349965699,0.014316231753217468,26.96,2.199636333578803,58.764596939086914,43.46436142921448,10,0.005,42
15,6,0.009384093048707394,0.01227831613592465,26.96,2.199636333578803,52.877801179885864,43.46436142921448,10,0.005,42
16,10,0.008527953005194277,0.013271817573385206,26.96,2.199636333578803,56.55591917037964,43.46436142921448,10,0.005,42
17,14,0.00677304127750742,0.009172096640664746,26.96,2.199636333578803,57.7440402507782,43.46436142921448,10,0.005,42
18,5,0.008973326886113213,0.0144407088920897,26.96,2.199636333578803,57.12316131591797,43.46436142921448,10,0.005,42
19,4,0.009344737316282565,0.01650593936154995,26.96,2.199636333578803,59.16587781906128,43.46436142921448,10,0.005,42
20,10,0.008896527686908025,0.014392302227776347,26.8,3.0983866769659336,59.9293487071991,43.30806541442871,10,0.005,42
21,6,0.007280641206033957,0.011889907278105322,26.8,3.0983866769659336,61.70171856880188,43.30806541442871,10,0.005,42
22,13,0.010282788208692108,0.018656799061876294,26.8,3.0983866769659336,56.522448778152466,43.30806541442871,10,0.005,42
23,3,0.008221434017467465,0.012143042143092855,26.8,3.0983866769659336,59.23889493942261,43.30806541442871,10,0.005,42
24,6,0.008710365050326338,0.012161133136142538,26.8,3.0983866769659336,55.85560631752014,43.30806541442871,10,0.005,42
25,3,0.008972045495156542,0.012814170410139698,26.8,3.0983866769659336,59.47719049453735,43.30806541442871,10,0.005,42
26,10,0.008242056777412361,0.012508640217033807,26.8,3.0983866769659336,59.049161195755005,43.30806541442871,10,0.005,42
27,3,0.007621832970050555,0.011762979569329004,26.8,3.0983866769659336,57.702380895614624,43.30806541442871,10,0.005,42
28,12,0.007630202309539853,0.010477951315412945,26.8,3.0983866769659336,60.303797006607056,43.30806541442871,10,0.005,42
29,6,0.008617470482214243,0.01516024725086301,26.8,3.0983866769659336,63.19664716720581,43.30806541442871,10,0.005,42
30,7,0.007626370186719907,0.011113234742983343,28.72,3.243701589234127,58.82282733917236,46.39262127876282,10,0.005,42
31,5,0.007894774291126973,0.013154899688987214,28.72,3.243701589234127,60.48141598701477,46.39262127876282,10,0.005,42
32,7,0.008171999233060421,0.016126710640567952,28.72,3.243701589234127,62.18198037147522,46.39262127876282,10,0.005,42
33,8,0.005745470259862921,0.008907863130886845,28.72,3.243701589234127,63.9665892124176,46.39262127876282,10,0.005,42
34,6,0.008999416046589454,0.012991505160720323,28.72,3.243701589234127,57.63998889923096,46.39262127876282,10,0.005,42
35,13,0.00700888561353011,0.01167163856957198,28.72,3.243701589234127,60.07373309135437,46.39262127876282,10,0.005,42
36,8,0.011242000221099323,0.017739129975731627,28.72,3.243701589234127,52.12966799736023,46.39262127876282,10,0.005,42
37,3,0.009397778816008952,0.015805923209722607,28.72,3.243701589234127,59.44196939468384,46.39262127876282,10,0.005,42
38,10,0.006917544758483746,0.010952199915748492,28.72,3.243701589234127,61.968226194381714,46.39262127876282,10,0.005,42
39,11,0.008752719685239795,0.015156194869373953,28.72,3.243701589234127,56.50585150718689,46.39262127876282,10,0.005,42
40,10,0.009598543546380114,0.016031709458492274,26.16,2.44425857879235,59.18285059928894,47.48344397544861,10,0.005,42
41,6,0.008086807011140713,0.011085516688976763,26.16,2.44425857879235,56.59279131889343,47.48344397544861,10,0.005,42
42,4,0.008290229542426574,0.010811031313533006,26.16,2.44425857879235,56.44568085670471,47.48344397544861,10,0.005,42
43,6,0.007585697029991519,0.012833736970059316,26.16,2.44425857879235,58.85653042793274,47.48344397544861,10,0.005,42
44,8,0.010219228844140763,0.015501047742221911,26.16,2.44425857879235,56.4052529335022,47.48344397544861,10,0.005,42
45,4,0.007703716948585641,0.011143924973877653,26.16,2.44425857879235,59.18577814102173,47.48344397544861,10,0.005,42
46,10,0.00923266632680004,0.01336690833386983,26.16,2.44425857879235,55.91294026374817,47.48344397544861,10,0.005,42
47,4,0.007402278901805007,0.01056064022341391,26.16,2.44425857879235,59.63381743431091,47.48344397544861,10,0.005,42
48,11,0.008035566176207017,0.011923828680942047,26.16,2.44425857879235,59.99712061882019,47.48344397544861,10,0.005,42
49,9,0.006798735173097005,0.01030990459651447,26.16,2.44425857879235,63.51503586769104,47.48344397544861,10,0.005,42
50,3,0.011053937352160481,0.015811992160566578,26.88,2.3378622713923933,55.08382248878479,46.37122344970703,10,0.005,42
51,11,0.009453489577421457,0.015743449673173312,26.88,2.3378622713923933,57.00834083557129,46.37122344970703,10,0.005,42
52,7,0.009258700809757908,0.015007833677240092,26.88,2.3378622713923933,61.31580090522766,46.37122344970703,10,0.005,42
